observation_date,DGS10
2016-05-01,1.81
2016-06-01,1.64
2016-07-01,1.50
2016-08-01,1.56
2016-09-01,1.63
2016-10-01,1.76
2016-11-01,2.14
2016-12-01,2.49
2017-01-01,2.43
2017-02-01,2.42
2017-03-01,2.48
2017-04-01,2.30
2017-05-01,2.30
2017-06-01,2.19
2017-07-01,2.32
2017-08-01,2.21
2017-09-01,2.20
2017-10-01,2.36
2017-11-01,2.35
2017-12-01,2.40
2018-01-01,2.58
2018-02-01,2.86
2018-03-01,2.84
2018-04-01,2.87
2018-05-01,2.98
2018-06-01,2.91
2018-07-01,2.89
2018-08-01,2.89
2018-09-01,3.00
2018-10-01,3.15
2018-11-01,3.12
2018-12-01,2.83
2019-01-01,2.71
2019-02-01,2.68
2019-03-01,2.57
2019-04-01,2.53
2019-05-01,2.40
2019-06-01,2.07
2019-07-01,2.06
2019-08-01,1.63
2019-09-01,1.70
2019-10-01,1.71
2019-11-01,1.81
2019-12-01,1.86
2020-01-01,1.76
2020-02-01,1.50
2020-03-01,0.87
2020-04-01,0.66
2020-05-01,0.67
2020-06-01,0.73
2020-07-01,0.62
2020-08-01,0.65
2020-09-01,0.68
2020-10-01,0.79
2020-11-01,0.87
2020-12-01,0.93
2021-01-01,1.08
2021-02-01,1.26
2021-03-01,1.61
2021-04-01,1.64
2021-05-01,1.62
2021-06-01,1.52
2021-07-01,1.32
2021-08-01,1.28
2021-09-01,1.37
2021-10-01,1.58
2021-11-01,1.56
2021-12-01,1.47
2022-01-01,1.76
2022-02-01,1.93
2022-03-01,2.13
2022-04-01,2.75
2022-05-01,2.90
2022-06-01,3.14
2022-07-01,2.90
2022-08-01,2.90
2022-09-01,3.52
2022-10-01,3.98
2022-11-01,3.89
2022-12-01,3.62
2023-01-01,3.53
2023-02-01,3.75
2023-03-01,3.66
2023-04-01,3.46
2023-05-01,3.57
2023-06-01,3.75
2023-07-01,3.90
2023-08-01,4.17
2023-09-01,4.38
2023-10-01,4.80
2023-11-01,4.50
2023-12-01,4.02
2024-01-01,4.06
2024-02-01,4.21
2024-03-01,4.21
2024-04-01,4.54
2024-05-01,4.48
2024-06-01,4.31
2024-07-01,4.25
2024-08-01,3.87
2024-09-01,3.72
2024-10-01,4.10
2024-11-01,4.36
2024-12-01,4.39
2025-01-01,4.63
2025-02-01,4.45
2025-03-01,4.28
2025-04-01,4.28
2025-05-01,4.42
2025-06-01,4.38
2025-07-01,4.39
2025-08-01,4.26
2025-09-01,4.12
2025-10-01,4.06
2025-11-01,4.09
2025-12-01,4.14
2026-01-01,4.21
2026-02-01,4.13
2026-03-01,4.25
2026-04-01,4.32
2026-05-01,4.48
